园区,企业名称,曾用名,统一信用代码,注册号,法定代表人,企业类型,成立日期,注册资本,联系电话,公司网站,注册地址,经营范围,所属行业,股东信息,成员信息
,北京****运科技有限公司,,91110108802072****,11010800258****,曹****,有限责任公司(自然人投资或控股),2001/3/22,50(万元),6210****,,北京市海淀区海淀路86号36号楼1-9层中发天交电子市场6层609室,技术开发；销售计算机软硬件及外围设备零配件、电子产品、机械电子设备、五金交电、通讯设备。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,机械设备、五金产品及电子产品批发，家用电器批发,徐****（持股比例：50.00%，认缴出资额：25万元，股东类型：自然人股东）戴****（持股比例：50.00%，认缴出资额：25万元，股东类型：自然人股东）,曹****（执行董事）曹****（经理）戴****（监事）
,北京****展电子科技中心,,              ****,11010801116****,郭****,个人独资企业,2008/7/7,,8262****,,北京市海淀区海淀路86号36号楼一层中发电子市场中心1069,技术开发；销售计算机软硬件及外围设备配件、电子产品、机械电子设备。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,机械设备、五金产品及电子产品批发，信息系统集成服务,郭****（持股比例：100.00%，认缴出资额：3，股东类型：自然人股东）,
,北京****业商贸中心,,91110108679603****,11010801130****,崔****,个人独资企业,2008/9/3,,1591076****,,北京市海淀区中关村大街32号蓝天科技综合楼B1-F5中发电子市场B1152,技术开发；销售计算机软硬件及外围设备零配件、电子产品、机械电子设备、五金交电、安全技术防范产品、通讯设备、照相器材。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),机械设备、五金产品及电子产品批发，家用电器批发,崔****（认缴额：--，实缴额：--，股东类型：自然人股东）,
,北京****电子工贸有限公司销售分公司,,91110108679636****,11010801125****,梁****,有限责任公司分公司(自然人投资或控股),2008/8/12,,010-6252****,,北京市海淀区中关村大街32号蓝天科技综合楼B1-F5中发电子市场中心F2507,销售计算机软硬件及外围设备零配件、电子产品、机械电子设备。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),机械设备、五金产品及电子产品批发，计算机外围设备制造,,梁****（负责人）
,北京****电子中心,,              ****,11010801126****,朱****,个人独资企业,2008/8/15,,,,北京市海淀区中关村大街32号蓝天科技综合楼B1-F5中发电子市场2652,销售计算机软硬件及外围设备零配件、电子产品、机械电子设备。,机械设备、五金产品及电子产品批发，计算机外围设备制造,朱****（认缴额：--，实缴额：--，股东类型：自然人股东）,
,北京****技发展有限责任公司,,91110108675713****,11010801105****,蔡****,有限责任公司(自然人投资或控股),2008/5/23,33(万元),1868890****,,北京市海淀区中关村大街32号蓝天科技综合楼B1-F5中发天交电子市场F4001,技术开发；销售计算机、软件及辅助设备、电子产品、机械设备、通讯设备。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,机械设备、五金产品及电子产品批发，信息系统集成服务,蔡****（认缴额：30万元，实缴额：30万元，股东类型：自然人股东）蔡****（认缴额：3万元，实缴额：--，股东类型：自然人股东）,蔡****（执行董事）蔡****（经理）蔡****（监事）
,北京****达科技发展中心,,91110108756024****,11010800624****,张****,集体所有制（股份合作）,2003/11/5,3(万元),1366133****,,北京市海淀区中关村大街32号蓝天科技综合楼B1-F5中发电子市场B1753,技术开发；销售计算机、软件及辅助设备、电子产品、机械设备、五金、交电、安全技术防范产品。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),机械设备、五金产品及电子产品批发，信息系统集成服务,谷****（认缴额：--，实缴额：--，股东类型：自然人股东）张****（认缴额：--，实缴额：--，股东类型：自然人股东）,张****（理事长）张****（总经理）谷****（监事）
,北京****博科技发展有限公司,,91110108689232****,11010801188****,刘****,有限责任公司(自然人投资或控股),2009/5/4,3(万元),1343928****,,北京市海淀区中关村大街32号0815、0816室,技术开发、技术推广、技术转让、技术咨询、技术服务、技术培训；计算机系统服务；数据处理；维修计算机；基础软件服务；应用软件服务；软件开发；软件咨询；市场调查；经济贸易咨询；投资咨询；销售电子产品、计算机、软件及辅助设备、通讯设备。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),软件开发，数据处理和存储服务,何****（持股比例：--，认缴出资额：0，股东类型：自然人股东）刘****（持股比例：100.00%，认缴出资额：2.90万元，股东类型：自然人股东）,刘****（执行董事）刘****（经理）何****（监事）
,北京****水科技中心,,91110108689238****,11010801189****,程****,个人独资企业,2009/5/5,,1391155****,,北京市海淀区知春路128号1号楼7层702A,技术开发；销售计算机软硬件及外围设备零配件、电子产品、机械电子设备、五金交电。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,机械设备、五金产品及电子产品批发，家用电器批发,程****（认缴额：--，实缴额：--，股东类型：自然人股东）,
,北京****科贸有限公司,,91110108690830****,11010801199****,林****,有限责任公司(自然人独资),2009/6/10,3(万元),8262****,,北京市海淀区中关村大街32号蓝天科技综合楼B1-F5中发天交电子市场地下一层B1515号,技术开发；销售计算机、软件及辅助设备、电子产品、机械设备、五金交电。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,机械设备、五金产品及电子产品批发，家用电器批发,林****（认缴额：--，实缴额：--，股东类型：自然人股东）,范****（监事）
,北京****蓉电子科贸中心海淀分部,,              ****,11010801195****,黄****,个人独资企业分支机构,2009/5/26,,6263****,,北京市海淀区海淀路86号32号36号楼1-9层中发电子市场一层1183,技术开发；销售计算机软硬件及外围设备零配件、电子产品、机械电子设备、五金交电、安全技术防范产品、通讯设备、照相器材；办公设备维修、家用电器修理、日用品修理。（未取得行政许可的项目除外）,机械设备、五金产品及电子产品批发，家用电器批发,,黄****（负责人）
,北京****科技有限公司,,91110108685754****,11010801173****,王****,有限责任公司(自然人投资或控股),2009/3/9,,1360108****,,北京市海淀区海淀路86号36号楼1-9层北京中发天交电子市场1层1502号,销售计算机软硬件及外围设备零配件、电子产品、机械电子设备、五金交电；技术开发。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,机械设备、五金产品及电子产品批发，家用电器批发,王****（认缴额：--，实缴额：--，股东类型：自然人股东）,
,北京****泰科技有限公司,,91110108306634****,11010801759****,龚****,有限责任公司(自然人独资),2014/7/21,20(万元),1390108****,,北京市海淀区中关村甲12号楼北3幢2层206室,技术开发；销售计算机软硬件及外围设备零配件、电子产品、机械电子设备、安全技术防范产品、通讯设备；办公设备维修、日用品修理。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,机械设备、五金产品及电子产品批发，信息系统集成服务,龚****（认缴额：20万元，实缴额：--，股东类型：自然人股东）,龚****（执行董事）龚****（经理）楼****（监事）
,北京****远科技发展中心,,91110108089680****,11010801660****,任****,个人独资企业,2013/12/25,,1391117****,,北京市海淀区中关村大街32号蓝天科技综合楼B1-F5中发电子市场B1617,技术开发；销售计算机软硬件及外围设备零配件、电子产品、机械电子设备、五金交电。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),机械设备、五金产品及电子产品批发，家用电器批发,任****（认缴额：--，实缴额：--，股东类型：自然人股东）,
,,,,,,,,,,,,,,,
中关村前沿技术创新中心,,,,,,,,,,,,,,,
,北京****利科技有限公司,,91110108748836****,11010800557****,郑****,有限责任公司(自然人投资或控股),2003/3/26,"1,000(万元)",8251****,,北京市海淀区海淀路50号五层1513号,技术开发、技术转让、技术服务、技术咨询；销售计算机、软件及辅助设备、电子产品、机械设备、五金、交电、文化用品、体育用品。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,机械设备、五金产品及电子产品批发，农业技术推广服务,王****（持股比例：10.00%，认缴出资额：100万元，股东类型：自然人股东）郑****（持股比例：90.00%，认缴出资额：900万元，股东类型：自然人股东）,郑****（执行董事）郑****（经理）王****（监事）
,伟博****北京)咨询服务有限公司,,91110108742616****,11010800477****,武****,有限责任公司(自然人投资或控股),2002/9/20,30(万元),8284****,,北京市海淀区北四环西路52号16层1607室,经济贸易咨询；技术推广、 技术咨询、技术服务；应用软件服务；计算机系统服务；技术进出口。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,软件开发，农业技术推广服务,汤****（持股比例：40.00%，认缴出资额：12万元，股东类型：自然人股东）武****（持股比例：60.00%，认缴出资额：18万元，股东类型：自然人股东）,武****（执行董事）武****（总经理）张****（监事）
,北京****技术发展有限公司,,              ****,11010801032****,陈****,有限责任公司(自然人投资或控股),2007/7/5,50(万元),0110-6210****,,北京市海淀区北四环西路67号大地科技大厦10层1001室,技术推广。（未取得行政许可的项目除外）,农业技术推广服务，百货零售,陈****（持股比例：72.00%，认缴出资额：36万元，股东类型：自然人股东）李****（持股比例：28.00%，认缴出资额：14万元，股东类型：自然人股东）,陈****（董事长）吴****（董事）徐****（董事）吴****（经理）张****（监事）
,北京****化传播有限公司,,91110108666299****,11010801039****,宫****,有限责任公司(自然人投资或控股),2007/8/8,50(万元),1330115****,,北京市海淀区北四环西路67号1608室,组织文化艺术交流活动；企业策划；企业管理咨询；经济贸易咨询；市场调查；会议服务、承办展览展示活动；工艺美术设计；设计、制作、发布、代理广告。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),其他文化艺术业，广告业,韩****（持股比例：80.00%，认缴出资额：40万元，股东类型：自然人股东）宫****（持股比例：20.00%，认缴出资额：10万元，股东类型：自然人股东）,宫****（执行董事）宫****（经理）韩****（监事）
,北京****创业投资管理有限公司,北京优乐买网络技术有限公司； 北京巴姆普传动科技有限公司,91110108696326****,11010801238****,康****,有限责任公司(自然人投资或控股),2009/11/5,100(万元),1343656****,,北京市海淀区北四环西路67号三层0318-5-06,投资管理、投资咨询；资产管理、经济贸易咨询、企业管理咨询；技术开发、技术推广、技术服务；会议服务；市场调查、企业策划；销售自行开发的产品、电子产品、工艺品、机械设备、建筑材料、通讯设备、计算机、软件及辅助设备、服装、日用品、医疗器械I类；设计、制作、代理、发布广告；承办展览展示活动；组织文化艺术交流活动。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),社会经济咨询，农业技术推广服务,康****（持股比例：80.00%，认缴出资额：80万元，股东类型：自然人股东）李****（持股比例：20.00%，认缴出资额：20万元，股东类型：自然人股东）,康****（执行董事）康****（经理）李****（监事）
,北京****实投资中心(有限合伙),,91110108672364****,11010801081****,龙****,有限合伙企业,2008/2/20,,1820122****,,北京市海淀区西杉创意园四区12号楼东段二层201,投资管理；资产管理；投资咨询。（1、不得以公开方式募集资金；2、不得公开交易证券类产品和金融衍生品；3、不得发放贷款；4、不得向所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益。企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,投资与资产管理，资本投资服务,夏****（认缴额：--，实缴额：--，股东类型：自然人股东）葛****（认缴额：--，实缴额：--，股东类型：自然人股东）张****（认缴额：--，实缴额：--，股东类型：自然人股东）龙****（认缴额：--，实缴额：--，股东类型：自然人股东）,
,北京****创科技有限公司,,91110108062820****,11010801559****,张****,有限责任公司(自然人独资),2013/1/31,500(万元),13466598****,,北京市海淀区北四环西路67号三层0318-3-10室,技术开发、技术转让、技术咨询、技术服务、技术推广；销售电子产品、机械设备、计算机、软件及辅助设备、文化用品。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,农业技术推广服务，机械设备、五金产品及电子产品批发,张****（认缴额：500万元，实缴额：10万元，股东类型：自然人股东）,张****（执行董事）张****（经理）庞****（监事）
,北京****亿科技有限公司,,91110108074197****,11010801606****,王****,有限责任公司(自然人投资或控股),2013/7/9,200(万元),1390132****,,北京市海淀区北四环西路67号13层1527房间,技术开发、技术转让、技术咨询、技术服务、技术推广；销售计算机、软件及辅助设备、机械设备、五金、交电、电子产品、化工产品（不含危险化学品及一类易制毒化学品）、日用品、建筑材料、金属材料；货物进出口、技术进出口、代理进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动）（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,农业技术推广服务，机械设备、五金产品及电子产品批发,孙****（持股比例：10.00%，认缴出资额：20万元，股东类型：自然人股东）王****（持股比例：90.00%，认缴出资额：180万元，股东类型：自然人股东）,王****（执行董事）王****（经理）孙****（监事）
,中融****北京)资产管理有限公司,,91110108584465****,11010801430****,张****,有限责任公司(自然人独资),2011/10/9,"1,000(万元)",1391038****,,北京市海淀区北四环西路67号3层0318-2-14,投资管理；企业管理服务；企业管理咨询；投资咨询；企业策划、设计；公共关系服务；会议服务；物业管理服务；模型设计。（“1、未经有关部门批准，不得以公开方式募集资金；2、不得公开开展证券类产品和金融衍生品交易活动；3、不得发放贷款；4、不得对所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益”；企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,社会经济咨询，商务服务业,张****（持股比例：--，认缴出资额：0，股东类型：自然人股东）,张****（监事）张****（经理）张****（执行董事）
,北京****商贸有限公司,北京昌昕旺科贸有限公司,91110108769393****,11010800776****,梁****,有限责任公司(自然人独资),2004/11/15,500(万元),6816****,,北京市海淀区清河毛纺厂南门外(清河机电设备厂)院内9号平房,销售日用品、文化用品、五金交电、服装、鞋帽、针纺织品、箱包、工艺品、体育用品、首饰、机械设备、电子产品、煤炭（不在北京地区开展实物煤的交易、储运活动）、金属材料、化妆品；技术进出口；技术推广、技术服务、技术开发、技术转让；组织文化艺术交流活动（不含营业性演出）。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,超级市场零售，文化、体育用品及器材批发,梁****（认缴额：--，实缴额：--，股东类型：自然人股东）,周****（监事）梁****（执行董事）梁****（经理）
,北京****光投资有限责任公司,北京金陵华轩投资有限责任公司,91110108306725****,11010801778****,周****,其他有限责任公司,2014/8/27,"12,000(万元)",8268****,,北京市海淀区西直门北大街甲43号1号楼15层1-27-1519,投资管理；资产管理；技术推广、技术服务；企业管理咨询。（“1、未经有关部门批准，不得以公开方式募集资金；2、不得公开开展证券类产品和金融衍生品交易活动；3、不得发放贷款；4、不得对所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益”；企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,投资与资产管理，社会经济咨询,"北****（持股比例：95.00%，认缴出资额：11,400万元，股东类型：法人股东）周****（持股比例：5.00%，认缴出资额：600万元，股东类型：自然人股东）",周****（执行董事）周****（经理）刘****（监事）
,北京****业贸易有限公司,,91110108661565****,11010801015****,施****,有限责任公司(自然人投资或控股),2007/4/25,50(万元),1391125****,,北京市海淀区北四环西路67号4层0405房间,销售计算机、软件及辅助设备、机械设备、通讯设备、文化用品、医疗器械I类；办公设备维修；计算机维修；教育咨询（中介服务除外）。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,机械设备、五金产品及电子产品批发，研究和试验发展,艾****（持股比例：22.00%，认缴出资额：11万元，股东类型：自然人股东）施****（持股比例：78.00%，认缴出资额：39万元，股东类型：自然人股东）,左****（监事）施****（执行董事）施****（经理）
,北京****康管理有限公司,,91110108MA01JH****,,邱****,其他有限责任公司,2019/4/17,100万元,,,北京市海淀区北四环西路67号13层1503室,"健康咨询、健康管理(须经审批的诊疗活动除外);医疗技术开发、技术服务、技术咨询;软件开发;企业管理咨询;教育咨询(中介服务除外)。(企业依法自主选择经营项目,开展经营活动;依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事本市产业政策禁止和限制类项目的经营活动。)",其他专业咨询，社会经济咨询,北****（认缴额：40万元，实缴额：--，股东类型：法人股东）邱****（认缴额：30万元，实缴额：--，股东类型：自然人股东）上****（认缴额：30万元，实缴额：--，股东类型：法人股东）,"蔡****（监事）邱****（经理,执行董事）"
,北京****投资顾问有限公司,,91110108696356****,11010801235****,崔****,其他有限责任公司,2009/10/27,100(万元),6510****,,北京市朝阳区建华南路11号1幢7层707,投资咨询；企业管理咨询；经济贸易咨询；市场调查；企业策划；承办展览展示活动。（“1、未经有关部门批准，不得以公开方式募集资金；2、不得公开开展证券类产品和金融衍生品交易活动；3、不得发放贷款；4、不得对所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益”；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,社会经济咨询，市场调查,衢****（认缴额：--，实缴额：--，股东类型：企业法人）衢****（认缴额：--，实缴额：--，股东类型：企业法人）,崔****（执行董事）崔****（经理）李****（监事）
,北京****速科技有限公司,,91110108782549****,11010800901****,宫****,有限责任公司(自然人投资或控股),2005/11/3,"1,500(万元)",8288****,,北京市海淀区温泉镇山口路1号院2号楼2201室,技术开发、技术推广、技术转让、技术咨询、技术服务、技术培训；销售机械设备、电气自动化、电子产品、五金交电。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,农业技术推广服务，技术推广服务,屈****（持股比例：83.33%，认缴出资额：750万元，股东类型：自然人股东）宫****（持股比例：16.67%，认缴出资额：150万元，股东类型：自然人股东）,宫****（执行董事）宫****（经理）屈****（监事）
,北京****餐饮管理有限公司,,91110108074154****,11010801608****,杨****,有限责任公司(自然人独资),2013/7/17,50(万元),8284****,,北京市海淀区北四环西路67号6层0618A房间,餐饮管理；投资管理；酒店管理；企业管理；经济贸易咨询；投资咨询；企业管理咨询；企业策划、设计；会议服务；承办展览展示活动。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),社会经济咨询，投资与资产管理,杨****（持股比例：100.00%，认缴出资额：50万元，股东类型：自然人股东）,杨****（执行董事）杨****（经理）房****（监事）
,北京****技集团有限公司,北京宇电威达科技发展有限公司,91110108737667****,11010800371****,孙****,有限责任公司(自然人投资或控股),2002/3/27,"10,351(万元)",010-5960****,www.ydwd.com,北京市朝阳区西大望路63号院7号楼6层706,技术开发、技术转让、技术咨询、技术服务、技术推广；计算机系统集成；制造输配电设备及控制设备（限分支机构经营）；芯片、通信模块、电子产品的设计、研发、生产、销售、技术服务（限分支机构经营）；计算机技术培训；基础软件服务；应用软件服务；数据处理；计算机维修；合同能源管理；销售计算机、软件及辅助设备、电子产品、机械设备、通讯设备、五金、交电（不从事实体店铺经营、不含电动自行车）、化工产品（不含危险化学品及一类易制毒化学品）、日用品、金属材料、仪器仪表。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,工程和技术研究和试验发展，信息系统集成服务,"孙****（持股比例：96.53%，认缴出资额：1,670万元，股东类型：自然人股东）夏****（持股比例：1.73%，认缴出资额：30万元，股东类型：自然人股东）",孙****（执行董事）孙****（总经理）夏****（监事）
,北京****技有限公司,,91110108791618****,11010800979****,郭****,有限责任公司(自然人投资或控股),2006/7/20,130(万元),8041****,,北京市海淀区北四环西路67号三层0318-2-11,技术开发、技术转让、技术咨询、技术服务、技术培训；计算机维修，计算机系统服务；数据处理；销售计算机、软件及辅助设备、电子产品、机械设备；销售食品。（企业依法自主选择经营项目，开展经营活动；销售食品以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,信息系统集成服务，信息技术咨询服务,郭****（持股比例：100.00%，认缴出资额：65万元，股东类型：自然人股东）王****（持股比例：--，认缴出资额：0，股东类型：自然人股东）,郭****（执行董事）郭****（总经理）王****（监事）
,北京****车自动防撞器制造有限公司,,91110108801161****,11010800338****,刘****,有限责任公司(自然人投资或控股),2001/11/7,"1,000(万元)",1326946****,www.taiy.com,北京市北京经济技术开发区地盛南街甲1号2号楼B616,制造、销售汽车自动防撞器（其中制造汽车自动防撞器限分支机构经营）。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,交通安全、管制及类似专用设备制造，汽车零部件及配件制造,陈****（持股比例：30.00%，认缴出资额：300万元，股东类型：自然人股东）刘****（持股比例：70.00%，认缴出资额：700万元，股东类型：自然人股东）,刘****（董事长）陈****（副董事长）顾****（副董事长）杨****（董事）于****（董事）刘****（经理）冯****（监事）
