序号,园区名称,省份,城市/区,占地面积(亩),企业数(家),详情,链接,中心,多个顶点
16,中科创新创业示范基地,北京市,海淀区,0,82,详细 ,https://d.qianzhan.com//yuanqu/dtl/45ff060ac7b058ec.html,"(116.328788,40.053928)"
17,凯龙高科岭,北京市,海淀区,0,24,详细 ,https://d.qianzhan.com//yuanqu/dtl/791c5957fa8fc540.html,"(116.291593,40.051517)"
18,北大生物城,北京市,海淀区,239,40,详细 ,https://d.qianzhan.com//yuanqu/dtl/e010b5f669219413.html,"(116.306657,40.032042)","(116.307921,40.032401)(116.308872,40.031341)(116.309765,40.030676)(116.308833,40.030465)(116.308965,40.029191)(116.308274,40.029182)(116.306296,40.029008)(116.306117,40.030886)(116.306056,40.031768)(116.304917,40.03161)(116.304666,40.03278)(116.304424,40.032851)(116.304085,40.032886)(116.304023,40.033164)(116.304046,40.033329)(116.304159,40.033343)(116.304213,40.033377)(116.303764,40.034441)(116.306741,40.035048)(116.307921,40.032401)"
19,四街一号院,北京市,海淀区,23,75,详细 ,https://d.qianzhan.com//yuanqu/dtl/19f0ffe2ce6744e0.html,"(116.311911,40.039634)","(116.310827,40.039681)(116.311281,40.038916)(116.312929,40.039484)(116.31298,40.039595)(116.3125,40.040344)(116.310827,40.039681)"
20,育英堂众创园,北京市,海淀区,0,485,详细 ,https://d.qianzhan.com//yuanqu/dtl/7df1282b262650e3.html,"(116.157894,40.047689)"
21,云基地+办公社区,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/8bd0db397a3d74cb.html,"(116.288704,40.037259)"
22,尚科办公社区,北京市,海淀区,0,8,详细 ,https://d.qianzhan.com//yuanqu/dtl/e131ac71a8d25c1e.html,"(116.287194,40.036958)"
23,金山北方种业九号基地园区,北京市,海淀区,0,1,详细 ,https://d.qianzhan.com//yuanqu/dtl/1c3d3069cc1dd7f9.html,"(116.343534,40.052273)"
24,联想园区,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/f5a28d69b978ab38.html,"(116.309479,40.043374)"
25,益园文化创意产业基地,北京市,海淀区,0,21,详细 ,https://d.qianzhan.com//yuanqu/dtl/05f1fe65a52f14a6.html,"(116.235477,39.952594)"
26,丰滢东路1号院,北京市,海淀区,328,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/4986a5c35f9de5cf.html,"(116.249571,40.07046)","(116.247726,40.068093)(116.247431,40.068157)(116.247286,40.068269)(116.246467,40.069707)(116.245645,40.071188)(116.245787,40.071344)(116.245891,40.071381)(116.251342,40.073037)(116.251646,40.072933)(116.253385,40.069465)(116.253251,40.069262)(116.247726,40.068093)"
27,永丰基地,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/e654520446d4c373.html,"(116.242418,40.073964)"
28,中关村医学工程转化中心,北京市,海淀区,0,88,详细 ,https://d.qianzhan.com//yuanqu/dtl/b9f356b7d861cdc8.html,"(116.224043,40.073544)"
29,清大瑞博(北京)科技开发有限公司中试基地,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/9ca992808f091983.html,"(116.219134,39.984400)"
30,北外大学生创业中心,北京市,海淀区,0,1,详细 ,https://d.qianzhan.com//yuanqu/dtl/aa96ed432bfd0a92.html,"(116.313672,39.955131)"
31,永翔北路9号院,北京市,海淀区,300,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/367e60147bd1105b.html,"(116.235437,40.080203)","(116.232759,40.079068)(116.232313,40.078932)(116.230636,40.078469)(116.23058,40.078463)(116.230546,40.078495)(116.229747,40.080109)(116.229739,40.08016)(116.229768,40.080222)(116.229838,40.080259)(116.23804,40.082192)(116.238435,40.082268)(116.238526,40.08226)(116.238609,40.082233)(116.238673,40.08218)(116.240111,40.079323)(116.240116,40.07927)(116.240079,40.079188)(116.240009,40.07913)(116.237214,40.078323)(116.237126,40.078336)(116.237069,40.078375)(116.236672,40.079201)(116.236262,40.080031)(116.235731,40.079891)(116.235069,40.079705)(116.233038,40.079142)(116.232759,40.079068)"
32,百度开发者创业中心,北京市,海淀区,0,670,详细 ,https://d.qianzhan.com//yuanqu/dtl/28ad1f7b14b47fef.html,"(116.234438,39.951687)"
33,制造中心,北京市,海淀区,0,4,详细 ,https://d.qianzhan.com//yuanqu/dtl/3533f2e93a491692.html,"(116.362299,40.059666)"
34,永丰科技企业加速器,北京市,海淀区,0,47,详细 ,https://d.qianzhan.com//yuanqu/dtl/d23f3a7a8e21943f.html,"(116.243851,40.082467)"
35,北京硅普芯片孵化基地,北京市,海淀区,0,113,详细 ,https://d.qianzhan.com//yuanqu/dtl/b71c9af0958e6ac8.html,"(116.377580,39.968801)"
36,中关村,北京市,海淀区,0,511,详细 ,https://d.qianzhan.com//yuanqu/dtl/17783423ab53e35a.html,"(116.314538,39.984805)"
37,星光大道创意工作室,北京市,海淀区,0,123,详细 ,https://d.qianzhan.com//yuanqu/dtl/361f263ada3cf774.html,"(116.335733,39.975629)"
38,中关村壹号,北京市,海淀区,340,4,详细 ,https://d.qianzhan.com//yuanqu/dtl/2136cb8d233da3ed.html,"(116.247935,40.07492)","(116.244611,40.076237)(116.245142,40.076631)(116.245496,40.076902)(116.246118,40.077205)(116.246617,40.077398)(116.247223,40.077542)(116.247931,40.07764)(116.24865,40.077649)(116.24924,40.077591)(116.249307,40.07754)(116.250144,40.075883)(116.251202,40.073741)(116.251395,40.073371)(116.251234,40.073207)(116.246749,40.07193)(116.246658,40.07207)(116.246213,40.072948)(116.244611,40.076237)"
39,生物育种北京市国际科技合作基地,北京市,海淀区,0,49,详细 ,https://d.qianzhan.com//yuanqu/dtl/d5bc9afc305ea5c5.html,"(116.367318,40.029799)"
40,农业生物技术北京市国际科技合作基地,北京市,海淀区,0,1,详细 ,https://d.qianzhan.com//yuanqu/dtl/f3f5646a342403c8.html,"(116.283814,40.025840)"
41,中关村玉渊潭科技商务区,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/9a8338d3c9a989c6.html,"(116.276176,39.921800)"
42,海淀·创业期科技型企业集中办公区,北京市,海淀区,0,273,详细 ,https://d.qianzhan.com//yuanqu/dtl/6564876b60c572ef.html,"(116.306286,39.973220)"
43,互联网创新中心,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/1306bafc9d106fc5.html,"(116.280068,40.047550)"
44,鸿运商务区,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/120b0ad4f806a7eb.html,"(116.341171,40.052044)"
45,众创集聚区,北京市,海淀区,0,3,详细 ,https://d.qianzhan.com//yuanqu/dtl/f5f168397348137c.html,"(116.236042,39.953444)"
46,军鹏汽车综合服务园区,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/33a56c05b5ed411d.html,"(116.217727,39.970433)"
47,东升·培黎科技教育园,北京市,海淀区,0,28,详细 ,https://d.qianzhan.com//yuanqu/dtl/ca93816a35c21b4f.html,"(116.345389,40.020694)"
48,玉泉慧谷,北京市,海淀区,126,303,详细 ,https://d.qianzhan.com//yuanqu/dtl/7d6056382da9d813.html,"(116.256909,39.975308)","(116.259097,39.97353)(116.257768,39.973476)(116.257728,39.974102)(116.257622,39.974102)(116.257617,39.974142)(116.257552,39.974134)(116.257548,39.974201)(116.256817,39.974202)(116.256751,39.974991)(116.256038,39.974978)(116.254387,39.97495)(116.254135,39.976317)(116.255657,39.976548)(116.257162,39.976771)(116.257237,39.976472)(116.257425,39.976503)(116.257496,39.976247)(116.257713,39.976173)(116.257891,39.976098)(116.257959,39.976033)(116.258148,39.975745)(116.258259,39.975784)(116.258951,39.97599)(116.259073,39.973799)(116.259097,39.97353)"
49,中关村东升科技园加速器分站,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/c6a3aeeaa9eb5d00.html,"(116.329429,40.051691)"
50,北软双新科创园,北京市,海淀区,11,68,详细 ,https://d.qianzhan.com//yuanqu/dtl/ad801862ad79874f.html,"(116.213455,39.969672)","(116.213033,39.970122)(116.214152,39.969937)(116.214003,39.969377)(116.213126,39.969272)(116.212801,39.969295)(116.213033,39.970122)"
51,紫光商务园·京香广场,北京市,海淀区,0,1,详细 ,https://d.qianzhan.com//yuanqu/dtl/5dbcd268a58d6447.html,"(116.213797,39.973429)"
52,中关村集成电路设计园,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/fb2f3d51ea878e1c.html,"(116.250637,40.074572)"
53,紫荆花孵化园,北京市,海淀区,0,447,详细 ,https://d.qianzhan.com//yuanqu/dtl/8b33102dfc31347c.html,"(116.295444,39.915028)"
54,斯凯兰德生态环保园,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/7273a7e03ec009ec.html,"(116.135145,40.116026)"
55,中关村生物医药园,北京市,海淀区,16,155,详细 ,https://d.qianzhan.com//yuanqu/dtl/e27b3f183b4d6a53.html,"(116.303547,40.043444)","(116.303084,40.042838)(116.304449,40.043335)(116.304033,40.044035)(116.302647,40.043575)(116.303084,40.042838)"
56,永丰航空材料园,北京市,海淀区,160,25,详细 ,https://d.qianzhan.com//yuanqu/dtl/df308aa0bc39265e.html,"(116.233907,40.073884)","(116.231627,40.076343)(116.233429,40.076877)(116.236144,40.071721)(116.236122,40.071508)(116.234256,40.070941)(116.231842,40.0759)(116.231627,40.076343)"
57,三九文创园,北京市,海淀区,0,3,详细 ,https://d.qianzhan.com//yuanqu/dtl/53fc1d0779a3dc53.html,"(116.343570,39.998215)"
58,四季汽车园,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/fb2100a40298a58c.html,"(116.240004,39.939981)"
59,泰禾文化园,北京市,海淀区,21,14,详细 ,https://d.qianzhan.com//yuanqu/dtl/ca1eb4c8f6180446.html,"(116.310044,40.049121)","(116.309086,40.049395)(116.310191,40.049881)(116.3106,40.049362)(116.310988,40.048844)(116.309912,40.048356)(116.309086,40.049395)"
60,海淀留学人员发展园,北京市,海淀区,0,110,详细 ,https://d.qianzhan.com//yuanqu/dtl/c33e8ce82d819b4a.html,"(116.308679,40.040281)"
61,北安河工业大院,北京市,海淀区,0,8,详细 ,https://d.qianzhan.com//yuanqu/dtl/c54758e5cc71c27d.html,"(116.122935,40.059634)"
62,中关村科技园区管理委员会(苏州街),北京市,海淀区,0,10,详细 ,https://d.qianzhan.com//yuanqu/dtl/29b545828583a2a2.html,"(116.306790,39.973600)"
63,中关村志达智慧家庭产业技术创新联盟,北京市,海淀区,0,10,详细 ,https://d.qianzhan.com//yuanqu/dtl/9a38f34a7129df44.html,"(116.234571,39.953300)"
64,中关村科技城生物产业创新基地,北京市,海淀区,0,17,详细 ,https://d.qianzhan.com//yuanqu/dtl/2427486156974333.html,"(116.256528,39.975377)"
65,中国创意产业联盟动画产业发展中心,北京市,海淀区,0,34,详细 ,https://d.qianzhan.com//yuanqu/dtl/f4c71fd2c6b43f9e.html,"(116.333865,40.027634)"
66,高效科技产业化促进中心,北京市,海淀区,0,83,详细 ,https://d.qianzhan.com//yuanqu/dtl/616199c36ac4507b.html,"(116.318906,39.971177)"
67,亿阳双新产业基地,北京市,海淀区,0,10,详细 ,https://d.qianzhan.com//yuanqu/dtl/e7f25e81cdbab8c1.html,"(116.222460,39.956190)"
68,龙兴德文化产业集团,北京市,海淀区,0,78,详细 ,https://d.qianzhan.com//yuanqu/dtl/c904316d355ec675.html,"(116.338039,39.970786)"
69,北科产业孵化楼,北京市,海淀区,0,85,详细 ,https://d.qianzhan.com//yuanqu/dtl/50e41e79aa15f11f.html,"(116.235378,40.077983)"
70,永丰产业基地站,北京市,海淀区,0,5,详细 ,https://d.qianzhan.com//yuanqu/dtl/f72a8eb3f164c6b1.html,"(116.252210,40.076520)"
71,WAPI产业联盟,北京市,海淀区,0,85,详细 ,https://d.qianzhan.com//yuanqu/dtl/2c74d8fbca15c4b8.html,"(116.344600,39.976900)"
72,天津中北总部经济产业园,北京市,海淀区,0,74,详细 ,https://d.qianzhan.com//yuanqu/dtl/ef317a067fd50477.html,"(116.337389,39.979061)"
73,尚东·数字谷,北京市,海淀区,38,74,详细 ,https://d.qianzhan.com//yuanqu/dtl/d864b138d9b0d343.html,"(116.289072,40.043515)","(116.287483,40.043691)(116.287598,40.043309)(116.287732,40.042834)(116.287751,40.042801)(116.28778,40.042779)(116.287817,40.042777)(116.288383,40.042905)(116.288951,40.043028)(116.289212,40.043077)(116.289476,40.043118)(116.290355,40.043268)(116.290656,40.043319)(116.290412,40.044237)(116.288931,40.043974)(116.288081,40.043808)(116.287483,40.043691)"
74,中关村云计算产业基地,北京市,海淀区,0,219,详细 ,https://d.qianzhan.com//yuanqu/dtl/f73afdb308cccbca.html,"(116.297561,40.048728)"
75,软件广场,北京市,海淀区,76,322,详细 ,https://d.qianzhan.com//yuanqu/dtl/acc960e0148e6f15.html,"(116.297841,40.048647)","(116.296329,40.049604)(116.298528,40.049978)(116.298839,40.049263)(116.299032,40.048709)(116.299403,40.048138)(116.299596,40.047826)(116.296989,40.047325)(116.296608,40.048598)(116.296329,40.049604)"
76,北京市海淀区文化创意产业集聚区,北京市,海淀区,0,6,详细 ,https://d.qianzhan.com//yuanqu/dtl/f32f0187b2aecabf.html,"(116.351910,40.008961)"
77,中关村北部产业聚集区,北京市,海淀区,0,1,详细 ,https://d.qianzhan.com//yuanqu/dtl/afe12bec6c75585d.html,"(116.186052,40.073393)"
78,中关村虚拟现实文化教育产业园,北京市,海淀区,0,310,详细 ,https://d.qianzhan.com//yuanqu/dtl/be3befd9e11c032b.html,"(116.313453,40.038602)"
79,锦绣大地物流港,北京市,海淀区,100,319,详细 ,https://d.qianzhan.com//yuanqu/dtl/66fe456a825313c6.html,"(116.229155,39.930753)","(116.227348,39.931711)(116.22759,39.929765)(116.227686,39.929691)(116.227778,39.929679)(116.228126,39.929634)(116.229358,39.929582)(116.230404,39.929576)(116.230615,39.929597)(116.230664,39.929679)(116.230851,39.931645)(116.230835,39.931691)(116.230833,39.931732)(116.230798,39.931748)(116.230787,39.931927)(116.230733,39.931937)(116.23064,39.931946)(116.22745,39.931742)(116.227348,39.931711)"
80,海淀物流基地义成物流园,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/fc70e74f12fca862.html,"(116.201391,40.124429)"
81,双利物流园,北京市,海淀区,11,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/c133385f97ad4267.html,"(116.230682,40.039823)","(116.231212,40.040242)(116.230174,40.040182)(116.230151,40.03947)(116.231128,40.039386)(116.231212,40.040242)"
82,科学技术研究院现代制造技术产业园,北京市,海淀区,96,1193,详细 ,https://d.qianzhan.com//yuanqu/dtl/8d49355c77c6317e.html,"(116.234926,40.078641)","(116.237092,40.078253)(116.233673,40.077241)(116.23276,40.079059)(116.234282,40.079479)(116.235793,40.079902)(116.236233,40.080016)(116.236283,40.079907)(116.236739,40.078951)(116.237092,40.078253)"
83,中关村军民融合网络与信息安全产业园,北京市,海淀区,0,1,详细 ,https://d.qianzhan.com//yuanqu/dtl/97bc32de47256aed.html,"(116.255376,39.973970)"
84,易亨·环星科创园,北京市,海淀区,0,86,详细 ,https://d.qianzhan.com//yuanqu/dtl/4f87e5a29752fe31.html,"(116.378068,39.979420)"
85,上地·元中心,北京市,海淀区,92,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/5495e0a204d31c64.html,"(116.316217,40.050043)","(116.314043,40.050127)(116.31724,40.051548)(116.318415,40.050041)(116.315228,40.048497)(116.314043,40.050127)"
86,中关村宽带技术产业创新园,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/9c2194664c6aa639.html,"(116.355884,39.980350)"
87,中关村永泰创新园,北京市,海淀区,0,7,详细 ,https://d.qianzhan.com//yuanqu/dtl/b564078d39cf2f29.html,"(116.362478,40.031174)"
88,新潜力企业创新园,北京市,海淀区,0,92,详细 ,https://d.qianzhan.com//yuanqu/dtl/e9ab06a6459d6af0.html,"(116.356589,40.032261)"
89,融科融智创新园,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/f4235c7ea125228c.html,"(116.304880,40.048851)"
90,北坞创新园,北京市,海淀区,147,58,详细 ,https://d.qianzhan.com//yuanqu/dtl/a1fa97a7ab2bea79.html,"(116.254766,39.980263)","(116.25685,39.979952)(116.257672,39.97899)(116.257769,39.978853)(116.2577,39.978791)(116.257056,39.978627)(116.256867,39.97912)(116.25682,39.979193)(116.256509,39.979138)(116.256081,39.97905)(116.256042,39.979044)(116.25556,39.978964)(116.253877,39.978718)(116.253436,39.978638)(116.253101,39.979747)(116.252784,39.980786)(116.252535,39.981605)(116.254973,39.982152)(116.25512,39.981983)(116.256035,39.980913)(116.25685,39.979952)"
91,中国科学院软件园区,北京市,海淀区,54,104,详细 ,https://d.qianzhan.com//yuanqu/dtl/d34da1daf82dc6fe.html,"(116.33597,39.980259)","(116.334628,39.981166)(116.334777,39.981202)(116.335734,39.981278)(116.335886,39.981281)(116.335913,39.981131)(116.336524,39.981175)(116.336553,39.980958)(116.336634,39.980665)(116.337155,39.980693)(116.337229,39.980381)(116.337263,39.979405)(116.335165,39.979307)(116.334913,39.980237)(116.334628,39.981166)"
92,中间艺术区,北京市,海淀区,0,1,详细 ,https://d.qianzhan.com//yuanqu/dtl/1833dc7ac0b78d5f.html,"(116.232106,39.953865)"
93,百得利创新园,北京市,海淀区,1,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/3203f83f08a23661.html,"(116.274399,39.928582)","(116.274277,39.928711)(116.274266,39.928507)(116.27466,39.928484)(116.274657,39.928707)(116.274277,39.928711)"
94,联想全球总部,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/4578195800dbd053.html,"(116.271935,40.047086)"
95,中关村国家知识产权制度师范园区,北京市,海淀区,0,109,详细 ,https://d.qianzhan.com//yuanqu/dtl/a1e5556881efdbde.html,"(116.345825,39.977528)"
96,联想总部(北京)园区2期,北京市,海淀区,204,1,详细 ,https://d.qianzhan.com//yuanqu/dtl/882927911b538f17.html,"(116.273487,40.047305)","(116.270474,40.048235)(116.275935,40.049101)(116.276247,40.047532)(116.275517,40.046325)(116.27527,40.045569)(116.274095,40.04543)(116.273892,40.046095)(116.271011,40.045746)(116.270474,40.048235)"
97,远大园区,北京市,海淀区,0,4,详细 ,https://d.qianzhan.com//yuanqu/dtl/084480253f65482e.html,"(116.279197,39.954158)"
98,中国科学园区,北京市,海淀区,0,82,详细 ,https://d.qianzhan.com//yuanqu/dtl/33802db098feec29.html,"(116.335331,39.979527)"
99,国家软件出囗基地,北京市,海淀区,0,1,详细 ,https://d.qianzhan.com//yuanqu/dtl/93cccad1b9447605.html,"(116.297874,40.052096)"
100,北京市高新技术产业孵化基地,北京市,海淀区,0,52,详细 ,https://d.qianzhan.com//yuanqu/dtl/9a0567ba4d8eb797.html,"(116.296475,40.050313)"
101,北京国家新材料高新技术产业化基地,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/df465b5ae44c0cfb.html,"(116.242545,40.074344)"
102,华龙移动通信研发产业基地,北京市,海淀区,0,2,详细 ,https://d.qianzhan.com//yuanqu/dtl/4c36349d66917bc1.html,"(116.283020,40.046729)"
103,上地信息产业基地,北京市,海淀区,0,134,详细 ,https://d.qianzhan.com//yuanqu/dtl/58a5d18f7474f1d4.html,"(116.306750,40.041730)"
104,VR产业基地,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/e4483df61bae76c0.html,"(116.328845,40.051816)"
105,永丰高新技术产业基地,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/258b9284f0673558.html,"(116.237952,40.070242)"
106,软件出口服务中心,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/f3a73be2e61491ff.html,"(116.296585,40.045211)"
107,熊猫星厨软件园店,北京市,海淀区,0,2,详细 ,https://d.qianzhan.com//yuanqu/dtl/e0d8e922644c4be9.html,"(116.284126,40.050360)"
108,中天科软件园孵化加速器,北京市,海淀区,0,326,详细 ,https://d.qianzhan.com//yuanqu/dtl/6431a46d7e9b1e52.html,"(116.287651,40.046725)"
109,亿城中关村软件园项目,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/0985c73216eb771d.html,"(116.310136,40.035909)"
110,航天软件园,北京市,海淀区,21,10,详细 ,https://d.qianzhan.com//yuanqu/dtl/2cca58ceba61d293.html,"(116.242578,40.078416)","(116.241716,40.078813)(116.242215,40.077775)(116.242355,40.077688)(116.243438,40.078033)(116.242896,40.07915)(116.241716,40.078813)"
111,用友软件园(永腾南路),北京市,海淀区,0,343,详细 ,https://d.qianzhan.com//yuanqu/dtl/f5eba8e269497330.html,"(116.234858,40.068420)"
112,软件园北门,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/6f7dbb1effe5bd13.html,"(116.273718,40.049320)"
113,中关村软件园(软件园二号路),北京市,海淀区,0,8,详细 ,https://d.qianzhan.com//yuanqu/dtl/fba82e65acefc283.html,"(116.287385,40.043454)"
114,华军软件园,北京市,海淀区,0,38,详细 ,https://d.qianzhan.com//yuanqu/dtl/4edb30bc40297b7c.html,"(116.302306,40.053014)"
115,中关村软件园(软件园三号路),北京市,海淀区,"1,855",1865,详细 ,https://d.qianzhan.com//yuanqu/dtl/0fe6b7d64a36c164.html,"(116.292868,40.047683)","(116.286966,40.042195)(116.284953,40.051393)(116.285422,40.051488)(116.28564,40.051518)(116.286613,40.051642)(116.288312,40.051968)(116.289565,40.052263)(116.290827,40.052523)(116.291732,40.052717)(116.292302,40.052881)(116.292658,40.052984)(116.296782,40.053858)(116.29732,40.054019)(116.297421,40.054038)(116.297478,40.054035)(116.297692,40.05322)(116.297888,40.052409)(116.298186,40.051292)(116.298639,40.049896)(116.299108,40.048664)(116.299709,40.047695)(116.301699,40.044522)(116.300227,40.043844)(116.298701,40.043194)(116.296662,40.042268)(116.296426,40.042209)(116.296008,40.043586)(116.294855,40.043382)(116.289729,40.042471)(116.287022,40.041983)(116.286966,40.042195)"
116,爱儿美摄影创意园,北京市,海淀区,6,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/5a6107cdea0ed10a.html,"(116.270215,39.933075)","(116.269747,39.933225)(116.26966,39.933161)(116.269809,39.932662)(116.270306,39.932781)(116.270224,39.933018)(116.271283,39.933308)(116.271236,39.933411)(116.270474,39.933197)(116.270411,39.933357)(116.269747,39.933225)"
117,益园,北京市,海淀区,0,8,详细 ,https://d.qianzhan.com//yuanqu/dtl/070c44243e8ce7b1.html,"(116.235246,39.953260)"
118,中关村国家自主创新示范区多媒体创意产业园,北京市,海淀区,0,207,详细 ,https://d.qianzhan.com//yuanqu/dtl/030d9d9958c5b570.html,"(116.292527,39.946619)"
119,京玺文化创意创新园,北京市,海淀区,67,28,详细 ,https://d.qianzhan.com//yuanqu/dtl/c9484e35cc7ca870.html,"(116.329633,40.052105)","(116.327801,40.052465)(116.327648,40.052692)(116.327968,40.052787)(116.327947,40.052815)(116.328039,40.052849)(116.328105,40.052744)(116.328255,40.052798)(116.328351,40.052671)(116.32845,40.052623)(116.329078,40.05282)(116.329272,40.052454)(116.32978,40.052623)(116.329826,40.052526)(116.33012,40.052603)(116.330444,40.052246)(116.330735,40.05198)(116.32933,40.051542)(116.329689,40.050923)(116.329749,40.050898)(116.329864,40.050948)(116.331081,40.051524)(116.331244,40.051344)(116.331575,40.050907)(116.331617,40.050848)(116.330426,40.050248)(116.329679,40.049899)(116.329598,40.049912)(116.329154,40.050484)(116.329232,40.050519)(116.329638,40.050732)(116.329555,40.050868)(116.329425,40.051176)(116.328853,40.050961)(116.328395,40.051516)(116.327855,40.052207)(116.327715,40.05239)(116.327725,40.052434)(116.327801,40.052465)"
120,汉蒙文化创意创新园,北京市,海淀区,0,54,详细 ,https://d.qianzhan.com//yuanqu/dtl/d1ace07d70ca4cb7.html,"(116.367552,40.040284)"
121,吴家村二通创意园,北京市,海淀区,0,21,详细 ,https://d.qianzhan.com//yuanqu/dtl/de1228f94cdb9841.html,"(116.296884,39.888711)"
122,外文文化创意园,北京市,海淀区,43,80,详细 ,https://d.qianzhan.com//yuanqu/dtl/4117f2b65d5e6165.html,"(116.321081,39.934336)","(116.320234,39.933636)(116.320224,39.93414)(116.319829,39.934142)(116.319846,39.935171)(116.320743,39.935174)(116.320749,39.934857)(116.322159,39.934868)(116.322343,39.934656)(116.322351,39.933634)(116.320234,39.933636)"
123,飞人工业区,北京市,海淀区,0,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/760517939be03f90.html,"(116.243247,40.098737)"
124,北京市海淀西山工业园,北京市,海淀区,15,0,详细 ,https://d.qianzhan.com//yuanqu/dtl/046c081f3cf2cfb6.html,"(116.238354,39.954517)","(116.238594,39.953896)(116.238063,39.954255)(116.237593,39.954529)(116.237371,39.954613)(116.237393,39.95475)(116.237486,39.954874)(116.237754,39.954894)(116.239092,39.954933)(116.239095,39.954775)(116.239019,39.95473)(116.239011,39.954555)(116.238913,39.954552)(116.238948,39.9539)(116.238594,39.953896)"
